Brand,Vehicle,Vehicle Type,Engine Size(L),Cylinders,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
AUDI,AUDI A8L,FULL-SIZE,4,8,Z,14.7,9.7,12.5,23,288
AUDI,AUDI A8L,FULL-SIZE,6.3,12,Z,18.7,11.5,15.5,18,363
AUDI,AUDI A8L TDI (modified),FULL-SIZE,3,6,D,9.8,6.5,8.4,34,224
AUDI,AUDI ALLROAD QUATTRO,STATION WAGON - SMALL,2,4,Z,11.8,8.8,10.5,27,242
AUDI,AUDI Q5,SUV - SMALL,2,4,Z,12,8.5,10.4,27,239
AUDI,AUDI Q5,SUV - SMALL,3,6,Z,12.9,9.2,11.2,25,258
AUDI,AUDI Q5 TDI (modified),SUV - SMALL,3,6,D,10.2,7.8,9,31,244
AUDI,AUDI Q5 HYBRID,SUV - SMALL,2,4,Z,9.9,8.3,9.2,31,212
AUDI,AUDI Q7,SUV - STANDARD,3,6,Z,15.1,10.9,13.2,21,304
AUDI,AUDI Q7 TDI (modified),SUV - STANDARD,3,6,D,12.4,8.7,10.7,26,290
AUDI,AUDI R8,TWO-SEATER,4.2,8,Z,17.6,11,14.6,19,336
AUDI,AUDI R8,TWO-SEATER,4.2,8,Z,21.2,13.4,17.7,16,407
AUDI,AUDI R8,TWO-SEATER,5.2,10,Z,18.2,10.6,14.8,19,347
AUDI,AUDI R8,TWO-SEATER,5.2,10,Z,21.1,13.8,17.8,16,409
AUDI,AUDI R8 SPYDER,TWO-SEATER,4.2,8,Z,17.6,11,14.6,19,336
AUDI,AUDI R8 SPYDER,TWO-SEATER,4.2,8,Z,21.2,13.4,17.7,16,407
AUDI,AUDI R8 SPYDER,TWO-SEATER,5.2,10,Z,18.2,10.6,14.8,19,347
AUDI,AUDI R8 SPYDER,TWO-SEATER,5.2,10,Z,21.1,13.8,17.8,16,409
AUDI,AUDI RS 5,SUBCOMPACT,4.2,8,Z,15.3,10.9,13.3,21,306
AUDI,AUDI RS 5 CABRIOLET,SUBCOMPACT,4.2,8,Z,15.2,11.3,13.4,21,308
AUDI,AUDI RS 7,MID-SIZE,4,8,Z,15.5,8.8,12.5,23,293
AUDI,AUDI S4,COMPACT,3,6,Z,13.2,9.2,11.4,25,262
AUDI,AUDI S4,COMPACT,3,6,Z,14.6,9.8,12.4,23,285
AUDI,AUDI S5,SUBCOMPACT,3,6,Z,13.2,9.2,11.4,25,262
AUDI,AUDI S5,SUBCOMPACT,3,6,Z,14.6,9.8,12.4,23,285
AUDI,AUDI S5 CABRIOLET,SUBCOMPACT,3,6,Z,13.3,9.5,11.6,24,267
AUDI,AUDI S6,MID-SIZE,4,8,Z,14.2,9.7,12.2,23,281
AUDI,AUDI S7,MID-SIZE,4,8,Z,14.2,9.7,12.2,23,281
AUDI,AUDI S8,MID-SIZE,4,8,Z,15.8,9.2,12.8,22,300
AUDI,AUDI SQ5,SUV - SMALL,3,6,Z,14.9,10.1,12.7,22,292
AUDI,AUDI TT COUPE QUATTRO,SUBCOMPACT,2,4,Z,10.4,7.6,9.1,31,209
AUDI,AUDI TT ROADSTER QUATTRO,TWO-SEATER,2,4,Z,10.4,7.6,9.1,31,209
AUDI,AUDI TTS COUPE QUATTRO,SUBCOMPACT,2,4,Z,11.5,8.8,10.3,27,237
AUDI,AUDI TTS ROADSTER QUATTRO,TWO-SEATER,2,4,Z,11.5,8.8,10.3,27,237
BENTLEY,BENTLEY CONTINENTAL GT,SUBCOMPACT,4,8,Z,16.3,9.8,13.4,21,314
BENTLEY,BENTLEY CONTINENTAL GT,SUBCOMPACT,6,12,Z,18.8,11.5,15.5,18,356
BENTLEY,BENTLEY CONTINENTAL GTC,SUBCOMPACT,4,8,Z,17.4,10.2,14.2,20,332
BENTLEY,BENTLEY CONTINENTAL GTC,SUBCOMPACT,6,12,Z,20,12.2,16.5,17,380
BENTLEY,BENTLEY CONTINENTAL GT SPEED CONVERTIBLE,SUBCOMPACT,6,12,Z,20,12.2,16.5,17,380
BENTLEY,BENTLEY FLYING SPUR,MID-SIZE,6,12,Z,20.3,11.9,16.5,17,388
BENTLEY,BENTLEY MULSANNE,MID-SIZE,6.8,8,Z,22.3,14.9,19,15,437
BMW,BMW 320i,COMPACT,2,4,Z,10,6.5,8.4,34,193
BMW,BMW 320i,COMPACT,2,4,Z,10.4,6.7,8.7,32,200
BMW,BMW 320i xDRIVE,COMPACT,2,4,Z,10.2,7,8.8,32,202
BMW,BMW 328d xDRIVE,COMPACT,2,4,D,7.6,5.5,6.7,42,181
BMW,BMW 328d xDRIVE TOURING,STATION WAGON - SMALL,2,4,D,7.6,5.5,6.7,42,181
BMW,BMW 328i,COMPACT,2,4,Z,10,6.5,8.4,34,193
BMW,BMW 328i,COMPACT,2,4,Z,10.4,6.7,8.7,32,200
BMW,BMW 328i xDRIVE,COMPACT,2,4,Z,10.6,7.2,9.1,31,209
BMW,BMW 328i xDRIVE GRAN TURISMO,FULL-SIZE,2,4,Z,10.6,7.2,9.1,31,209
BMW,BMW 328i xDRIVE TOURING,STATION WAGON - SMALL,2,4,Z,10.6,7.2,9.1,31,209
BMW,BMW 335i,COMPACT,3,6,Z,11.4,7.3,9.6,29,221
BMW,BMW 335i,COMPACT,3,6,Z,11.8,7.9,10,28,230
BMW,BMW 335i xDRIVE,COMPACT,3,6,Z,11.7,7.8,9.9,29,228
BMW,BMW 335i xDRIVE,COMPACT,3,6,Z,11.9,8.3,10.3,27,237
BMW,BMW 335i xDRIVE GRAN TURISMO,FULL-SIZE,3,6,Z,11.9,8,10.1,28,232
BMW,BMW 428i COUPE,COMPACT,2,4,Z,10,6.5,8.4,34,193
BMW,BMW 428i COUPE,COMPACT,2,4,Z,10.4,6.7,8.7,32,200
BMW,BMW 428i xDRIVE COUPE,COMPACT,2,4,Z,10.6,7.2,9.1,31,209
BMW,BMW 435i COUPE,COMPACT,3,6,Z,11.4,7.3,9.6,29,221
BMW,BMW 435i COUPE,COMPACT,3,6,Z,11.8,7.9,10,28,230
BMW,BMW 435i xDRIVE COUPE,COMPACT,3,6,Z,11.7,7.8,9.9,29,228
BMW,BMW 435i xDRIVE COUPE,COMPACT,3,6,Z,11.9,8.3,10.3,27,237
BMW,BMW 528i,MID-SIZE,2,4,Z,10.2,7,8.8,32,202
BMW,BMW 528i xDRIVE,MID-SIZE,2,4,Z,10.6,7.2,9.1,31,209
BMW,BMW 535d xDRIVE,MID-SIZE,3,6,D,9.2,6.4,7.9,36,213
BMW,BMW 535i xDRIVE,MID-SIZE,3,6,Z,11.9,8,10.1,28,232
BMW,BMW 535i xDRIVE GRAN TURISMO,FULL-SIZE,3,6,Z,12.5,8.6,10.7,26,246
BMW,BMW 550i xDRIVE,MID-SIZE,4.4,8,Z,14.4,9.6,12.2,23,281
BMW,BMW 550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8,Z,15,9.8,12.7,22,292
BMW,BMW 640i xDRIVE GRAN COUPE,COMPACT,3,6,Z,11.9,8,10.1,28,232
BMW,BMW 650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,Z,15,9.8,12.7,22,292
BMW,BMW 650i xDRIVE COUPE,COMPACT,4.4,8,Z,14.4,9.6,12.2,23,281
BMW,BMW 650i xDRIVE GRAN COUPE,COMPACT,4.4,8,Z,15,9.8,12.7,22,292
BMW,BMW 740Li xDRIVE,FULL-SIZE,3,6,Z,12.5,8.6,10.7,26,246
BMW,BMW 750i xDRIVE,FULL-SIZE,4.4,8,Z,15,9.8,12.7,22,292
BMW,BMW 750Li xDRIVE,FULL-SIZE,4.4,8,Z,15,9.8,12.7,22,292
BMW,BMW 760Li,FULL-SIZE,6,12,Z,18.7,11.5,15.5,18,356
BMW,BMW ACTIVEHYBRID 3,COMPACT,3,6,Z,9.2,7.1,8.3,34,191
BMW,BMW ACTIVEHYBRID 5,MID-SIZE,3,6,Z,10.5,7.9,9.3,30,214
BMW,BMW ACTIVEHYBRID 7L,FULL-SIZE,3,6,Z,10.5,7.6,9.2,31,212
BMW,BMW ALPINA B7 xDRIVE LWB,FULL-SIZE,4.4,8,Z,15,9.8,12.7,22,292
BMW,BMW ALPINA B7 xDRIVE SWB,FULL-SIZE,4.4,8,Z,15,9.8,12.7,22,292
BMW,BMW M5,MID-SIZE,4.4,8,Z,17.3,11.5,14.7,19,338
BMW,BMW M5,MID-SIZE,4.4,8,Z,16.2,10.9,13.8,20,317
BMW,BMW M6,COMPACT,4.4,8,Z,17.3,11.5,14.7,19,338
BMW,BMW M6,COMPACT,4.4,8,Z,16.2,10.9,13.8,20,317
BMW,BMW M6 CABRIOLET,SUBCOMPACT,4.4,8,Z,17.3,11.5,14.7,19,338
BMW,BMW M6 CABRIOLET,SUBCOMPACT,4.4,8,Z,16.2,10.9,13.8,20,317
BMW,BMW M6 GRAN COUPE,COMPACT,4.4,8,Z,17.3,11.5,14.7,19,338
BMW,BMW M6 GRAN COUPE,COMPACT,4.4,8,Z,16.2,10.9,13.8,20,317
BMW,BMW X1 xDRIVE28i,SUV - SMALL,2,4,Z,10.6,7.2,9.1,31,209
BMW,BMW X1 xDRIVE35i,SUV - SMALL,3,6,Z,13.2,8.9,11.3,25,260
BMW,BMW X3 xDRIVE28i,SUV - SMALL,2,4,Z,11.2,8.5,10,28,230
BMW,BMW X3 xDRIVE35i,SUV - SMALL,3,6,Z,12.6,9.1,11,26,253
BMW,BMW X5 xDRIVE35i,SUV - STANDARD,3,6,Z,12.9,8.8,11.1,25,255
BMW,BMW X5 xDRIVE50i,SUV - STANDARD,4.4,8,Z,16.3,10.9,13.9,20,320
BMW,BMW X6 M,SUV - STANDARD,4.4,8,Z,18.1,13.7,16.1,18,370
BMW,BMW X6 xDRIVE35i,SUV - STANDARD,3,6,Z,13.6,9.8,11.9,24,274
BMW,BMW X6 xDRIVE50i,SUV - STANDARD,4.4,8,Z,16.4,11.3,14.1,20,324
BMW,BMW Z4 sDRIVE28i,TWO-SEATER,2,4,Z,10.8,7.1,9.1,31,209
BMW,BMW Z4 sDRIVE28i,TWO-SEATER,2,4,Z,10.4,6.7,8.7,32,200
BMW,BMW Z4 sDRIVE35i,TWO-SEATER,3,6,Z,13.7,10.1,12.1,23,278
BMW,BMW Z4 sDRIVE35i,TWO-SEATER,3,6,Z,12.7,9,11,26,253
BMW,BMW Z4 sDRIVE35is,TWO-SEATER,3,6,Z,13.7,10.1,12.1,23,278
BUICK,BUICK ENCLAVE,SUV - STANDARD,3.6,6,X,14.3,9.9,12.3,23,283
BUICK,BUICK ENCLAVE AWD,SUV - STANDARD,3.6,6,X,14.6,10.2,12.6,22,290
BUICK,BUICK ENCORE,SUV - SMALL,1.4,4,X,9.5,7.2,8.5,33,196
BUICK,BUICK ENCORE AWD,SUV - SMALL,1.4,4,X,10.2,8,9.2,31,212
BUICK,BUICK LACROSSE,MID-SIZE,3.6,6,X,13.7,8.7,11.5,25,264
BUICK,BUICK LACROSSE,MID-SIZE,3.6,6,E,18.4,12.2,15.6,18,250
BUICK,BUICK LACROSSE AWD,MID-SIZE,3.6,6,X,13.7,8.9,11.5,25,264
BUICK,BUICK LACROSSE AWD,MID-SIZE,3.6,6,E,19.4,13,16.5,17,264
BUICK,BUICK LACROSSE eASSIST,MID-SIZE,2.4,4,X,9.6,6.5,8.2,34,189
BUICK,BUICK REGAL,MID-SIZE,2,4,Z,11.5,7.9,9.9,29,228
BUICK,BUICK REGAL,MID-SIZE,2,4,Z,11.6,7.5,9.8,29,225
BUICK,BUICK REGAL AWD,MID-SIZE,2,4,Z,12.3,8.7,10.7,26,246
BUICK,BUICK REGAL eASSIST,MID-SIZE,2.4,4,X,9.6,6.5,8.2,34,189
BUICK,BUICK VERANO,COMPACT,2,4,Z,11.5,7.9,9.9,29,228
BUICK,BUICK VERANO,COMPACT,2,4,Z,11.6,7.5,9.8,29,225
BUICK,BUICK VERANO,COMPACT,2.4,4,X,11.3,7.4,9.5,30,218
CADILLAC,CADILLAC ATS,COMPACT,2,4,Z,11.3,7.5,9.6,29,221
CADILLAC,CADILLAC ATS,COMPACT,2,4,Z,12.1,7.9,10.2,28,235
CADILLAC,CADILLAC ATS,COMPACT,2.5,4,X,10.5,7.2,9,31,207
CADILLAC,CADILLAC ATS,COMPACT,3.6,6,X,12.8,8.5,10.9,26,251
CADILLAC,CADILLAC ATS AWD,COMPACT,2,4,Z,11.8,8.1,10.1,28,232
CADILLAC,CADILLAC ATS AWD,COMPACT,3.6,6,X,13.1,9,11.3,25,260
CADILLAC,CADILLAC CTS COUPE,MID-SIZE,3.6,6,X,13.2,8.7,11.2,25,258
CADILLAC,CADILLAC CTS COUPE AWD,MID-SIZE,3.6,6,X,13.3,9,11.4,25,262
CADILLAC,CADILLAC CTS SEDAN,MID-SIZE,2,4,Z,11.9,7.9,10.1,28,232
CADILLAC,CADILLAC CTS SEDAN,MID-SIZE,3.6,6,X,12.9,8.2,10.8,26,248
CADILLAC,CADILLAC CTS SEDAN AWD,MID-SIZE,2,4,Z,12.6,8.5,10.8,26,248
CADILLAC,CADILLAC CTS SEDAN AWD,MID-SIZE,3.6,6,X,13.1,9,11.3,25,260
CADILLAC,CADILLAC CTS SEDAN Vsport,MID-SIZE,3.6,6,Z,15.1,9.9,12.8,22,294
CADILLAC,CADILLAC CTS SPORT WAGON,STATION WAGON - SMALL,3,6,X,12.7,8.9,11,26,253
CADILLAC,CADILLAC CTS SPORT WAGON,STATION WAGON - SMALL,3.6,6,X,13.3,8.9,11.3,25,260
CADILLAC,CADILLAC CTS SPORT WAGON AWD,STATION WAGON - SMALL,3,6,X,12.8,9.1,11.1,25,255
CADILLAC,CADILLAC CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.6,6,X,13.3,9,11.4,25,262
CADILLAC,CADILLAC CTS-V COUPE,MID-SIZE,6.2,8,Z,19.7,12.9,16.6,17,382
CADILLAC,CADILLAC CTS-V COUPE,MID-SIZE,6.2,8,Z,16.7,12.5,14.8,19,340
CADILLAC,CADILLAC CTS-V SEDAN,MID-SIZE,6.2,8,Z,19.7,12.9,16.6,17,382
CADILLAC,CADILLAC CTS-V SEDAN,MID-SIZE,6.2,8,Z,16.7,12.5,14.8,19,340
CADILLAC,CADILLAC CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,Z,19.7,12.9,16.6,17,382
CADILLAC,CADILLAC CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,Z,16.7,12.5,14.8,19,340
CADILLAC,CADILLAC ESCALADE AWD,SUV - STANDARD,6.2,8,Z,17,11.8,14.7,19,338
CADILLAC,CADILLAC ESCALADE AWD,SUV - STANDARD,6.2,8,E,23.3,16.1,20.1,14,322
CADILLAC,CADILLAC ESCALADE ESV AWD,SUV - STANDARD,6.2,8,Z,18.8,13.4,16.4,17,377
CADILLAC,CADILLAC ESCALADE ESV AWD,SUV - STANDARD,6.2,8,E,25.7,17.8,22.1,13,354
CADILLAC,CADILLAC SRX,SUV - STANDARD,3.6,6,X,14.3,9.8,12.3,23,283
CADILLAC,CADILLAC SRX AWD,SUV - STANDARD,3.6,6,X,14.8,10.4,12.8,22,294
CADILLAC,CADILLAC XTS,FULL-SIZE,3.6,6,X,13.6,8.6,11.4,25,262
CADILLAC,CADILLAC XTS AWD,FULL-SIZE,3.6,6,X,14,9.1,11.8,24,271
CADILLAC,CADILLAC XTS Vsport AWD,FULL-SIZE,3.6,6,Z,14.8,9.8,12.6,22,290
CHEVROLET,CHEVROLET CAMARO,COMPACT,3.6,6,X,13.2,8.7,11.2,25,258
CHEVROLET,CHEVROLET CAMARO,COMPACT,3.6,6,X,14.2,8.6,11.7,24,269
CHEVROLET,CHEVROLET CAMARO 2LS,COMPACT,3.6,6,X,12.7,7.9,10.5,27,242
CHEVROLET,CHEVROLET CAMARO SS,COMPACT,6.2,8,Z,15.3,9.8,12.8,22,294
CHEVROLET,CHEVROLET CAMARO SS,COMPACT,6.2,8,Z,15,9.9,12.7,22,292
CHEVROLET,CHEVROLET CAMARO ZL1,COMPACT,6.2,8,Z,19.7,12.9,16.6,17,382
CHEVROLET,CHEVROLET CAMARO ZL1,COMPACT,6.2,8,Z,16.7,12.5,14.8,19,340
CHEVROLET,CHEVROLET CORVETTE,TWO-SEATER,6.2,8,Z,14.9,8.5,12,24,276
CHEVROLET,CHEVROLET CORVETTE,TWO-SEATER,6.2,8,Z,13.7,8.2,11.2,25,258
CHEVROLET,CHEVROLET CRUZE,MID-SIZE,1.4,4,X,9.1,6.3,7.8,36,179
CHEVROLET,CHEVROLET CRUZE,MID-SIZE,1.4,4,X,9.1,6.3,7.8,36,179
CHEVROLET,CHEVROLET CRUZE,MID-SIZE,1.8,4,X,10.5,6.7,8.8,32,202
CHEVROLET,CHEVROLET CRUZE,MID-SIZE,1.8,4,X,9.5,6.5,8.2,34,189
CHEVROLET,CHEVROLET CRUZE DIESEL,MID-SIZE,2,4,D,8.7,5.1,7.1,40,192
CHEVROLET,CHEVROLET CRUZE ECO,MID-SIZE,1.4,4,X,9.1,6,7.7,37,177
CHEVROLET,CHEVROLET CRUZE ECO,MID-SIZE,1.4,4,X,8.4,5.6,7.1,40,163
CHEVROLET,CHEVROLET EQUINOX,SUV - SMALL,2.4,4,X,10.5,7.3,9.1,31,209
CHEVROLET,CHEVROLET EQUINOX,SUV - SMALL,3.6,6,X,13.9,9.6,12,24,276
CHEVROLET,CHEVROLET EQUINOX,SUV - SMALL,3.6,6,E,18.8,13.1,16.2,17,259
CHEVROLET,CHEVROLET EQUINOX AWD,SUV - SMALL,2.4,4,X,11.5,8.2,10,28,230
CHEVROLET,CHEVROLET EQUINOX AWD,SUV - SMALL,3.6,6,X,14.8,9.9,12.6,22,290
CHEVROLET,CHEVROLET EQUINOX AWD,SUV - SMALL,3.6,6,E,19.8,13.6,17,17,272
CHEVROLET,CHEVROLET EXPRESS 1500 CARGO,VAN - CARGO,4.3,6,X,17.1,12.7,15.1,19,347
CHEVROLET,CHEVROLET EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,X,18,13.4,15.9,18,366
CHEVROLET,CHEVROLET EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,E,23.5,17.7,20.9,14,334
CHEVROLET,CHEVROLET EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,X,18.3,14.2,16.5,17,380
CHEVROLET,CHEVROLET EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,E,23.7,18.8,21.5,13,344
CHEVROLET,CHEVROLET EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,X,18.6,13.9,16.5,17,380
CHEVROLET,CHEVROLET EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,E,23.9,18.5,21.5,13,344
CHEVROLET,CHEVROLET EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,X,18.3,14.2,16.5,17,380
CHEVROLET,CHEVROLET EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,E,25.3,19.3,22.6,12,362
CHEVROLET,CHEVROLET EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,X,18.6,13.9,16.5,17,380
CHEVROLET,CHEVROLET EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,E,23.9,18.5,21.5,13,344
CHEVROLET,CHEVROLET EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,X,18.3,14.2,16.5,17,380
CHEVROLET,CHEVROLET EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,E,25.3,19.3,22.6,12,362
CHEVROLET,CHEVROLET EXPRESS 2500 PASSENGER,VAN - PASSENGER,4.8,8,X,21.1,14.2,18,16,414
CHEVROLET,CHEVROLET EXPRESS 2500 PASSENGER,VAN - PASSENGER,6,8,X,21.9,15,18.8,15,432
CHEVROLET,CHEVROLET EXPRESS 2500 PASSENGER,VAN - PASSENGER,6,8,E,30,20.4,25.7,11,411
CHEVROLET,CHEVROLET EXPRESS 3500 PASSENGER,VAN - PASSENGER,4.8,8,X,21.3,14.3,18.2,16,419
CHEVROLET,CHEVROLET EXPRESS 3500 PASSENGER,VAN - PASSENGER,6,8,X,22.1,15,18.9,15,435
CHEVROLET,CHEVROLET EXPRESS 3500 PASSENGER,VAN - PASSENGER,6,8,E,30.2,20.5,25.8,11,413
CHEVROLET,CHEVROLET IMPALA,FULL-SIZE,2.5,4,X,11.3,7.5,9.6,29,221
CHEVROLET,CHEVROLET IMPALA,FULL-SIZE,3.6,6,X,12.6,8.2,10.6,27,244
CHEVROLET,CHEVROLET IMPALA,FULL-SIZE,3.6,6,E,16.7,11.3,14.3,20,229
CHEVROLET,CHEVROLET IMPALA ECO,FULL-SIZE,2.4,4,X,10,7,8.7,32,200
CHEVROLET,CHEVROLET MALIBU,MID-SIZE,2,4,Z,11.5,7.9,9.9,29,228
CHEVROLET,CHEVROLET MALIBU,MID-SIZE,2.5,4,X,9.3,6.4,8,35,184
CHEVROLET,CHEVROLET ORLANDO,SUV - SMALL,2.4,4,X,12.2,8.6,10.6,27,244
CHEVROLET,CHEVROLET ORLANDO,SUV - SMALL,2.4,4,X,11.8,8.3,10.2,28,235
CHEVROLET,CHEVROLET SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,X,13.4,9.9,11.8,24,271
CHEVROLET,CHEVROLET SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,E,18.9,14.2,16.8,17,269
CHEVROLET,CHEVROLET SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,X,14.6,10.3,12.7,22,292
CHEVROLET,CHEVROLET SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,E,19.5,13.7,16.9,17,270
CHEVROLET,CHEVROLET SILVERADO,PICKUP TRUCK - STANDARD,6.2,8,Z,16.3,11.4,14.1,20,324
CHEVROLET,CHEVROLET SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,X,14.2,10.6,12.6,22,290
CHEVROLET,CHEVROLET SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,E,20,15.1,17.8,16,285
CHEVROLET,CHEVROLET SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,X,14.9,10.6,13,22,299
CHEVROLET,CHEVROLET SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,E,19.9,14.2,17.3,16,277
CHEVROLET,CHEVROLET SILVERADO 4WD,PICKUP TRUCK - STANDARD,6.2,8,Z,16.4,11.7,14.3,20,329
CHEVROLET,CHEVROLET SONIC,COMPACT,1.4,4,X,9.1,6.7,8,35,184
CHEVROLET,CHEVROLET SONIC,COMPACT,1.4,4,X,8.5,6.2,7.5,38,173
CHEVROLET,CHEVROLET SONIC,COMPACT,1.8,4,X,9.6,6.6,8.3,34,191
CHEVROLET,CHEVROLET SONIC,COMPACT,1.8,4,X,8.9,6.7,7.9,36,182
CHEVROLET,CHEVROLET SONIC RS,COMPACT,1.4,4,X,9.4,7,8.3,34,191
CHEVROLET,CHEVROLET SONIC RS,COMPACT,1.4,4,X,8.8,7,8,35,184
CHEVROLET,CHEVROLET SONIC 5,MID-SIZE,1.4,4,X,9.1,6.7,8,35,184
CHEVROLET,CHEVROLET SONIC 5,MID-SIZE,1.4,4,X,8.5,6.2,7.5,38,172
CHEVROLET,CHEVROLET SONIC 5,MID-SIZE,1.8,4,X,9.6,6.6,8.3,34,191
CHEVROLET,CHEVROLET SONIC 5,MID-SIZE,1.8,4,X,8.9,6.7,7.9,36,182
CHEVROLET,CHEVROLET SONIC 5 RS,MID-SIZE,1.4,4,X,9.4,7,8.3,34,191
CHEVROLET,CHEVROLET SONIC 5 RS,MID-SIZE,1.4,4,X,8.8,7,8,35,184
CHEVROLET,CHEVROLET SPARK,SUBCOMPACT,1.2,4,X,7.7,6,6.9,41,159
CHEVROLET,CHEVROLET SPARK,SUBCOMPACT,1.2,4,X,7.6,6,6.9,41,159
